feature,loading
Galathea mauritiana,-0.2906428265753564
Stomatolina rubra,-0.2717421086441631
Trapezia serenei,-0.26468246637290277
Strigatella assimilis,-0.2513772722371202
Mitrella moleculina,-0.23947037334357515
Diala semistriata,-0.23146373026198075
Alpheus diadema,-0.22532392451864347
Harpiliopsis spinigera,0.21184575554843027
Caracanthus maculatus,0.21081202291427484
Luniella pugil,-0.21009032918980447
Diala albugo,-0.20226188541300297
Apataxia cerithiiformis,-0.1993041968692959
Zafra hahajimana,-0.1960562930415155
Cerithium zebrum,-0.1787670741097779
Periclimenes watamuae,0.17673564403762065
Dascyllus flavicaudus,0.17087491741229044
Paragobiodon modestus,-0.15404040336862884
Halichoeres trimaculatus,0.14295996085246063
Calcinus latens,0.14075603840128637
Alpheus lottini,-0.12586189307476092
Xanthias lamarckii,-0.1161289815443515
Morula zebrina,-0.11375666096144207
Coralliogalathea humilis,-0.1073095322897026
Dascyllus aruanus,0.10570189658400479
Carinomitra typha,-0.10026605727626027
Chlorodiella barbata,-0.09729648035051261
Menaethius monoceros,-0.09402567770317707
Galeropsis monodonta,-0.08555931536213783
Vexillum interruptum,0.08154111639496399
Macteola interrupta,-0.08028970878431405
Athanas djiboutensis,-0.07447252408786309
Synalpheus charon,-0.06547990792255899
Trapezia tigrina,-0.0647111324365501
Fennera chacei,0.06377166822198059
Hargeria rapax,-0.05813918031511025
Cellana taitensis,-0.05112183323961153
Harpiliopsis beaupresii,0.005448347803448529
Pascula muricata,0.0011507160364608068
