min_prev,min_abund,n_species,n_corals,richness_F,richness_p,rarefied_F,rarefied_p,shannon_F,shannon_p,simpson_F,simpson_p,evenness_F,evenness_p
5,5,46,44,1.355431507880302,0.3000068215562709,4.013032243935881,0.05809117183822897,4.478381648878572,0.017413499732178647,2.777783412377691,0.07390109618500529,1.0364898305685468,0.40847923384480833
10,5,30,44,0.40926522869397375,0.672499273300542,2.808365204330961,0.07193859661575744,2.519347890263435,0.0929067599369723,1.7828408080567157,0.1809496387197917,1.155734529232302,0.388082424401347
15,5,21,44,0.1875993898338093,0.8311253015731642,2.426344831550747,0.10094628388535895,1.962973346947275,0.15341778019180535,1.4358976634798752,0.24961358562579572,1.1726442309127574,0.4001618505533765
20,5,19,44,0.026383037024104,0.9740083964156003,1.6819543804926977,0.19859032750934408,1.206675769128718,0.30959298136486607,0.9045979861238669,0.4126283890847908,1.1586099399960454,0.3239867598640028
5,10,38,44,1.1553806088012741,0.3474665958455279,3.9363343695800403,0.02730328739452268,3.8831004809402043,0.028551644022667653,2.4396834159218006,0.09974980170188538,1.0413961245869015,0.4128646663596205
10,10,30,44,0.40926522869397375,0.672499273300542,2.808365204330961,0.07193859661575744,2.519347890263435,0.0929067599369723,1.7828408080567157,0.1809496387197917,1.155734529232302,0.388082424401347
15,10,21,44,0.1875993898338093,0.8311253015731642,2.426344831550747,0.10094628388535895,1.962973346947275,0.15341778019180535,1.4358976634798752,0.24961358562579572,1.1726442309127574,0.4001618505533765
20,10,19,44,0.026383037024104,0.9740083964156003,1.6819543804926977,0.19859032750934408,1.206675769128718,0.30959298136486607,0.9045979861238669,0.4126283890847908,1.1586099399960454,0.3239867598640028
5,20,23,44,0.2158560116514809,0.8085360604757494,2.209908596863251,0.12261362523788322,1.8484108470858542,0.17037187148719868,1.4260554744345861,0.2519206255170523,1.0789236114170093,0.4185756969358778
10,20,23,44,0.2158560116514809,0.8085360604757494,2.209908596863251,0.12261362523788322,1.8484108470858542,0.17037187148719868,1.4260554744345861,0.2519206255170523,1.0789236114170093,0.4185756969358778
15,20,21,44,0.1875993898338093,0.8311253015731642,2.426344831550747,0.10094628388535895,1.962973346947275,0.15341778019180535,1.4358976634798752,0.24961358562579572,1.1726442309127574,0.4001618505533765
20,20,19,44,0.026383037024104,0.9740083964156003,1.6819543804926977,0.19859032750934408,1.206675769128718,0.30959298136486607,0.9045979861238669,0.4126283890847908,1.1586099399960454,0.3239867598640028
5,30,19,44,0.531733595205594,0.5996920235128553,2.64138079239098,0.08336315497809745,2.1877024647630066,0.1250974715548089,1.50576866290529,0.2338595007144793,0.9561802492655656,0.45994536891942484
10,30,19,44,0.531733595205594,0.5996920235128553,2.64138079239098,0.08336315497809745,2.1877024647630066,0.1250974715548089,1.50576866290529,0.2338595007144793,0.9561802492655656,0.45994536891942484
15,30,19,44,0.531733595205594,0.5996920235128553,2.64138079239098,0.08336315497809745,2.1877024647630066,0.1250974715548089,1.50576866290529,0.2338595007144793,0.9561802492655656,0.45994536891942484
20,30,18,44,0.3145476074484088,0.7350341350653657,2.392687776185767,0.10403274454485067,1.7509611089462105,0.18633921912293674,1.0740221001958807,0.35104776011431055,0.9674641041716336,0.4686131422347854
