min_prev,min_abund,n_species,transform,n_corals,chisq,p_value
5,5,46,sqrt,44,5.184062610107288,0.022794965634224756
5,5,46,hellinger,44,7.05822367446961,0.00789021947948288
10,5,30,sqrt,44,7.123161072857881,0.0076094422145590234
10,5,30,hellinger,44,8.210896572783962,0.004163957152056015
15,5,21,sqrt,44,7.488736488658996,0.00620861043932026
15,5,21,hellinger,44,9.201505347629716,0.002418161894404674
20,5,19,sqrt,44,11.339356859302377,7.588159859200722e-4
20,5,19,hellinger,44,12.171257392972063,4.8531579284779073e-4
5,10,38,sqrt,44,6.152141418446185,0.013125308246747555
5,10,38,hellinger,44,7.905648057547145,0.004928068347421104
10,10,30,sqrt,44,7.123161072857881,0.0076094422145590234
10,10,30,hellinger,44,8.210896572783962,0.004163957152056015
15,10,21,sqrt,44,7.488736488658996,0.00620861043932026
15,10,21,hellinger,44,9.201505347629716,0.002418161894404674
20,10,19,sqrt,44,11.339356859302377,7.588159859200722e-4
20,10,19,hellinger,44,12.171257392972063,4.8531579284779073e-4
5,20,23,sqrt,44,7.741794734959491,0.005395714713762639
5,20,23,hellinger,44,9.063780582486794,0.0026072234939299188
10,20,23,sqrt,44,7.741794734959491,0.005395714713762639
10,20,23,hellinger,44,9.063780582486794,0.0026072234939299188
15,20,21,sqrt,44,7.488736488658996,0.00620861043932026
15,20,21,hellinger,44,9.201505347629716,0.002418161894404674
20,20,19,sqrt,44,11.339356859302377,7.588159859200722e-4
20,20,19,hellinger,44,12.171257392972063,4.8531579284779073e-4
5,30,19,sqrt,44,5.910650121689841,0.015049616807445557
5,30,19,hellinger,44,6.834348794069042,0.008942128772883784
10,30,19,sqrt,44,5.910650121689841,0.015049616807445557
10,30,19,hellinger,44,6.834348794069042,0.008942128772883784
15,30,19,sqrt,44,5.910650121689841,0.015049616807445557
15,30,19,hellinger,44,6.834348794069042,0.008942128772883784
20,30,18,sqrt,44,7.321337832603742,0.006814066956072704
20,30,18,hellinger,44,7.653637067574537,0.005665797882443282
