threshold_label,n_species,CAFI_PC1_treatment_p_value,CAFI_PC1_treatment_effect_size_1v6
5/5,52,0.004789508063776116,-3.5759009647451183
10/5,38,0.001104264390029664,3.413384550511683
15/5,26,3.0838658087424515e-4,3.087898439780843
20/5,22,5.81772268602878e-4,2.8993113695969948
25/5,19,7.478411929780128e-4,2.572899336289045
5/10,41,0.0020953504090718113,3.4302582333670273
10/10,38,0.001104264390029664,3.413384550511683
15/10,26,3.0838658087424515e-4,3.087898439780843
20/10,22,5.81772268602878e-4,2.8993113695969948
25/10,19,7.478411929780128e-4,2.572899336289045
5/20,31,0.0031113595282577108,3.137237432134675
10/20,31,0.0031113595282577108,3.137237432134675
15/20,24,7.489790912507658e-4,2.9545882294969403
20/20,22,5.81772268602878e-4,2.8993113695969948
25/20,19,7.478411929780128e-4,2.572899336289045
5/30,23,0.0016153278607721334,2.7696566374071248
10/30,23,0.0016153278607721334,2.7696566374071248
15/30,22,0.0011182973230489804,2.670774525943651
20/30,21,5.97794518874801e-4,2.708026951679612
25/30,19,7.478411929780128e-4,2.572899336289045
