coral_id,n_zeros,prop_zeros,n_species_present,prop_species_present,total_abundance
POC101,20,0.5263157894736842,18,0.47368421052631576,100
POC102,13,0.34210526315789475,25,0.6578947368421053,128
POC103,20,0.5263157894736842,18,0.47368421052631576,151
POC105,15,0.39473684210526316,23,0.6052631578947368,193
POC106,17,0.4473684210526316,21,0.5526315789473685,112
POC107,24,0.631578947368421,14,0.3684210526315789,70
POC108,22,0.5789473684210527,16,0.42105263157894735,111
POC109,15,0.39473684210526316,23,0.6052631578947368,156
POC111,21,0.5526315789473685,17,0.4473684210526316,158
POC112,19,0.5,19,0.5,96
POC113,23,0.6052631578947368,15,0.39473684210526316,101
POC61,16,0.42105263157894735,22,0.5789473684210527,152
POC62,21,0.5526315789473685,17,0.4473684210526316,91
POC63,16,0.42105263157894735,22,0.5789473684210527,88
POC64,20,0.5263157894736842,18,0.47368421052631576,63
POC65,16,0.42105263157894735,22,0.5789473684210527,48
POC67,17,0.4473684210526316,21,0.5526315789473685,137
POC69,22,0.5789473684210527,16,0.42105263157894735,70
POC70,19,0.5,19,0.5,77
POC71,16,0.42105263157894735,22,0.5789473684210527,108
POC72,23,0.6052631578947368,15,0.39473684210526316,99
POC73,22,0.5789473684210527,16,0.42105263157894735,67
POC74,20,0.5263157894736842,18,0.47368421052631576,87
POC75,22,0.5789473684210527,16,0.42105263157894735,95
POC76,11,0.2894736842105263,27,0.7105263157894737,76
POC77,18,0.47368421052631576,20,0.5263157894736842,129
POC78,18,0.47368421052631576,20,0.5263157894736842,167
POC80,23,0.6052631578947368,15,0.39473684210526316,75
POC81,21,0.5526315789473685,17,0.4473684210526316,62
POC82,26,0.6842105263157895,12,0.3157894736842105,44
POC84,28,0.7368421052631579,10,0.2631578947368421,23
POC86,22,0.5789473684210527,16,0.42105263157894735,48
POC87,15,0.39473684210526316,23,0.6052631578947368,65
POC88,18,0.47368421052631576,20,0.5263157894736842,82
POC89,19,0.5,19,0.5,69
POC91,21,0.5526315789473685,17,0.4473684210526316,69
POC92,25,0.6578947368421053,13,0.34210526315789475,94
POC93,23,0.6052631578947368,15,0.39473684210526316,119
POC94,18,0.47368421052631576,20,0.5263157894736842,134
POC95,19,0.5,19,0.5,109
POC96,16,0.42105263157894735,22,0.5789473684210527,135
POC97,21,0.5526315789473685,17,0.4473684210526316,69
POC98,24,0.631578947368421,14,0.3684210526315789,113
POC99,22,0.5789473684210527,16,0.42105263157894735,163
